country,city,customer_name,payments_count,total_amount,rank_in_country,segment
Brazil,Luzinia,Ida Andrews,22,75.78,25,обычный
Brazil,Bag,Antonio Meek,15,73.85,26,обычный
Brazil,Braslia,Timothy Bunn,18,72.82,27,обычный
Brazil,Ibirit,Daniel Cabral,13,68.87,28,обычный
Brunei,Bandar Seri Begawan,Lois Butler,34,107.66,1,постоянный
Bulgaria,Ruse,Tyrone Asher,24,112.76,1,постоянный
Bulgaria,Stara Zagora,Jessie Banks,24,81.76,2,обычный
Cambodia,Battambang,Elmer Noe,23,92.76,1,обычный
Cambodia,Phnom Penh,Allison Stanley,24,86.75,2,обычный
Cameroon,Bamenda,Albert Crouse,22,96.78,1,обычный
Cameroon,Yaound,Lawrence Lawton,28,89.71,2,обычный
Canada,Richmond Hill,Curtis Irby,38,167.62,1,ключевой
Canada,Vancouver,Troy Quigley,27,126.73,2,постоянный
Canada,Halifax,Darrell Power,24,89.76,3,обычный
Canada,Gatineau,Derrick Bourque,20,87.80,4,обычный
Canada,Oshawa,Loretta Carpenter,21,87.79,5,обычный
Chad,NDjamna,Javier Elrod,28,122.72,1,постоянный
Chile,Antofagasta,Janet Phillips,26,124.74,1,постоянный
Chile,Coquimbo,Andre Rapp,26,110.74,2,постоянный
Chile,Rancagua,Jerome Kenyon,14,67.86,3,обычный
China,Zhoushan,Guy Brownlee,31,151.69,1,ключевой
China,Fuyu,Stacey Montgomery,33,146.67,2,постоянный
China,Lengshuijiang,Margie Wade,32,142.67,3,постоянный
China,Changzhou,Sue Peters,32,133.68,4,постоянный
China,Binzhou,Jessie Milam,30,132.70,5,постоянный
China,Jinchang,Regina Berry,32,129.68,6,постоянный
China,Yinchuan,Roberto Vu,27,128.73,7,постоянный
China,Qinhuangdao,Glenda Frazier,29,128.71,8,постоянный
China,Liaocheng,Carrie Porter,34,124.66,9,постоянный
China,Emeishan,Alan Kahn,25,119.75,10,постоянный
China,Tiefa,Michael Silverman,26,113.74,11,постоянный
China,Leshan,Dave Gardiner,27,113.73,12,постоянный
China,Datong,Christy Vargas,30,113.70,13,постоянный
China,Shaoguan,Clyde Tobias,28,112.72,14,постоянный
China,Baiyin,Charlie Bess,24,110.76,15,постоянный
China,Yuncheng,Michele Grant,27,110.73,16,постоянный
China,Meixian,Ruby Washington,28,110.72,17,постоянный
China,Jinzhou,Terrence Gunderson,29,110.71,18,постоянный
China,Xiangfan,Heidi Larson,32,110.68,19,постоянный
China,Baicheng,Ted Breaux,27,109.73,20,постоянный
China,Shanwei,Kyle Spurlock,29,109.71,21,постоянный
China,Jining,Eduardo Hiatt,23,108.77,22,постоянный
China,Weifang,Marion Ocampo,27,107.73,23,постоянный
China,Hohhot,Hazel Warren,32,106.68,24,постоянный
China,Tongliao,Leroy Bustamante,29,104.71,25,постоянный
China,Dongying,Leo Ebert,22,101.78,26,постоянный
China,Laohekou,Melvin Ellington,25,96.75,27,обычный
China,Yuzhou,Gary Coy,22,95.78,28,обычный
China,Xinxiang,Walter Perryman,24,95.76,29,обычный
China,Sanya,Kelly Knott,24,94.76,30,обычный
China,Suihua,Chester Benner,22,92.78,31,обычный
China,Nanyang,Pamela Baker,21,91.79,32,обычный
China,Daxian,Judith Cox,30,91.70,33,обычный
China,Haining,Hugh Waldrop,20,89.80,34,обычный
China,Tianjin,Dora Medina,19,88.81,35,обычный
China,Pingxiang,Erica Matthews,20,86.80,36,обычный
China,Xiangtan,Kelly Torres,20,86.80,36,обычный
China,Rizhao,Tyler Wren,19,82.81,38,обычный
China,Xintai,Bob Pfeiffer,22,82.78,39,обычный
China,Hami,Lorraine Stephens,20,81.80,40,обычный
China,Laiwu,Megan Palmer,25,81.75,41,обычный
China,Yingkou,Roland South,23,80.77,42,обычный
China,Tieli,Austin Cintron,18,78.82,43,обычный
China,Junan,Ricky Shelby,23,78.77,44,обычный
China,Huaian,Ernest Stepp,21,77.79,45,обычный
China,Zalantun,Phyllis Foster,20,76.80,46,обычный
China,Shenzhen,Eugene Culpepper,18,70.82,47,обычный
China,Zaoyang,Franklin Troutman,21,69.79,48,обычный
China,Korla,Felicia Sutton,23,68.77,49,обычный
China,Yantai,Kay Caldwell,13,65.87,50,обычный
China,Ezhou,Donald Mahon,16,63.84,51,обычный
China,Enshi,Tiffany Jordan,12,49.88,52,обычный
China,Fuzhou,Leona Obrien,10,32.90,53,обычный
Colombia,Sincelejo,Wanda Patterson,28,137.72,1,постоянный
Colombia,Dos Quebradas,Sylvia Ortiz,30,134.70,2,постоянный
Colombia,Sogamoso,Sam Mcduffie,22,105.78,3,постоянный
Colombia,Florencia,Leon Bostic,21,97.79,4,обычный
Colombia,Pereira,Stacy Cunningham,22,95.78,5,обычный
Colombia,Buenaventura,Jackie Lynch,23,89.77,6,обычный
"Congo, The Democratic Republic of the",Mwene-Ditu,Aaron Selby,20,88.80,1,обычный
"Congo, The Democratic Republic of the",Lubumbashi,Jesse Schilling,22,79.78,2,обычный
Czech Republic,Olomouc,Jennie Terry,28,132.72,1,постоянный
Dominican Republic,Santiago de los Caballeros,Myrtle Fleming,24,110.76,1,постоянный
Dominican Republic,San Felipe de Puerto Plata,Jeff East,30,107.70,2,постоянный
Dominican Republic,La Romana,Randall Neumann,20,85.80,3,обычный
Ecuador,Robamba,Ramon Choate,30,135.70,1,постоянный
Ecuador,Loja,Tracy Herrmann,25,118.75,2,постоянный
Ecuador,Portoviejo,Patsy Davidson,27,114.73,3,постоянный
Egypt,Shubra al-Khayma,Sherry Marshall,31,139.69,1,постоянный
Egypt,Mit Ghamr,Rick Mattox,25,120.75,2,постоянный
Egypt,Sawhaj,Alfred Casillas,26,120.74,3,постоянный
Egypt,Bilbays,Everett Banda,28,110.72,4,постоянный
Egypt,Idfu,Lillie Kim,23,89.77,5,обычный
Egypt,Qalyub,Emma Boyd,19,77.81,6,обычный
Estonia,Tartu,Marcus Hidalgo,28,105.72,1,постоянный
Ethiopia,Addis Abeba,Sean Douglass,23,91.77,1,обычный
Faroe Islands,Trshavn,Edward Baugh,24,96.76,1,обычный
Finland,Oulu,Erika Pena,21,78.79,1,обычный
France,Toulouse,Virginia Green,30,118.70,1,постоянный
France,Brest,Luis Yanez,19,77.81,2,обычный
France,Toulon,Rita Graham,22,77.78,3,обычный
France,Le Mans,Lauren Hudson,17,59.83,4,обычный
French Guiana,Cayenne,Rose Howard,20,97.80,1,обычный
French Polynesia,Papeete,Gloria Cook,26,115.74,1,постоянный
French Polynesia,Faaa,Christine Roberts,21,89.78,2,обычный
Gambia,Banjul,Salvador Teel,27,114.73,1,постоянный
Germany,Mannheim,Alma Austin,31,128.69,1,постоянный
Germany,Erlangen,Miguel Betancourt,26,127.73,2,постоянный
Germany,Duisburg,Grace Ellis,30,126.70,3,постоянный
Germany,Halle/Saale,Vickie Brewer,25,100.75,4,постоянный
Germany,Witten,Vicki Fields,22,91.78,5,обычный
Germany,Siegen,Vanessa Sims,19,86.81,6,обычный
Germany,Saarbrcken,Colleen Burton,22,78.78,7,обычный
Greece,Athenai,Linda Williams,24,130.76,1,постоянный
Greece,Patras,Enrique Forsythe,22,73.78,2,обычный
Greenland,Nuuk,Gertrude Castillo,28,119.72,1,постоянный
Holy See (Vatican City State),Citt del Vaticano,Jessica Hall,32,146.68,1,постоянный
Hong Kong,Kowloon and New Kowloon,Violet Rodriquez,24,104.76,1,постоянный
Hungary,Szkesfehrvr,Terrance Roush,29,111.71,1,постоянный
India,Valparai,Mike Way,33,162.67,1,ключевой
India,Halisahar,Lena Jensen,30,154.70,2,ключевой
India,Bijapur,Tim Cary,34,154.66,3,ключевой
India,Bhilwara,Tonya Chapman,29,147.71,4,постоянный
India,Rae Bareli,Lori Wood,31,141.69,5,постоянный
India,Bhopal,Helen Harris,31,134.68,6,постоянный
India,Siliguri (Shiliguri),Brett Cornwell,30,130.70,7,постоянный
India,Purnea (Purnia),Bradley Motley,26,125.74,8,постоянный
India,Parbhani,John Farnsworth,26,123.74,9,постоянный
India,Vijayawada,Milton Howland,23,121.77,10,постоянный
India,Mysore,Cheryl Murphy,24,119.76,11,постоянный
India,Pudukkottai,Lee Hawks,25,117.75,12,постоянный
India,Karnal,Naomi Jennings,27,116.73,13,постоянный
India,Satna,Gerald Fultz,29,116.71,14,постоянный
India,Bhimavaram,Erik Guillen,28,115.72,15,постоянный
India,Jhansi,Amy Lopez,26,112.74,16,постоянный
India,Ambattur,Arlene Harvey,24,111.76,17,постоянный
India,Haldia,Holly Fox,29,111.71,18,постоянный
India,Udaipur,Beatrice Arnold,23,109.77,19,постоянный
India,Uluberia,Theodore Culp,28,109.72,20,постоянный
India,Chandrapur,Sally Pierce,29,108.71,21,постоянный
India,Munger (Monghyr),Cynthia Young,30,105.70,22,постоянный
India,Etawah,Josephine Gomez,25,104.75,23,постоянный
India,Kamarhati,Brenda Wright,26,104.74,24,постоянный
India,Patiala,Ramona Hale,23,103.77,25,постоянный
India,Bhusawal,Carla Gutierrez,26,103.74,26,постоянный
India,Pune,Juanita Mason,28,100.72,27,постоянный
India,Ahmadnagar,Sherri Rhodes,26,99.74,28,обычный
India,Allappuzha (Alleppey),Annette Olson,23,98.76,29,обычный
India,Adoni,Adam Gooch,20,97.80,30,обычный
India,Firozabad,Laurie Lawrence,22,97.78,31,обычный
India,Varanasi (Benares),Shannon Freeman,23,97.77,32,обычный
India,Bhavnagar,Carlos Coughlin,21,96.79,33,обычный
India,Palghat (Palakkad),Nina Soto,21,96.79,33,обычный
India,Rajkot,Dwayne Olvera,20,95.80,35,обычный
India,Shivapuri,Nicole Peterson,22,94.78,36,обычный
India,Rampur,Joshua Mark,22,93.78,37,обычный
India,Yamuna Nagar,Nancy Thomas,26,93.74,38,обычный
India,Jaipur,Mildred Bailey,21,88.78,39,обычный
India,Uttarpara-Kotrung,Georgia Jacobs,23,88.77,40,обычный
India,Chapra,Raul Fortier,18,86.82,41,обычный
India,Shimoga,Nellie Garrett,19,86.81,42,обычный
India,Sambhal,Agnes Bishop,21,86.79,43,обычный
India,Katihar,Chad Carbone,24,86.76,44,обычный
India,Balurghat,Lucy Wheeler,24,86.75,45,обычный
India,Dhule (Dhulia),Bernard Colby,21,83.79,46,обычный
India,Amroha,Christian Jung,22,81.78,47,обычный
India,Miraj,Steven Curley,19,80.81,48,обычный
India,Tambaram,Becky Miles,22,80.78,49,обычный
India,Jodhpur,Pearl Garza,22,76.78,50,обычный
India,Ranchi,Samuel Marlow,20,75.80,51,обычный
India,Hoshiarpur,Allen Butterfield,17,74.83,52,обычный
India,Nagaon,Alicia Mills,19,73.81,53,обычный
India,Pathankot,Paula Bryant,17,72.83,54,обычный
India,Gulbarga,Wayne Truong,19,70.81,55,обычный
India,Gandhinagar,Edith Mcdonald,17,69.83,56,обычный
India,Berhampore (Baharampur),Marvin Yee,19,65.81,57,обычный
India,Kanchrapara,Lester Kraus,15,62.85,58,обычный
India,Hubli-Dharwad,Anita Morales,14,59.86,59,обычный
India,Kumbakonam,Penny Neal,16,56.84,60,обычный
Indonesia,Probolinggo,Steve Mackenzie,32,152.68,1,ключевой
Indonesia,Pontianak,Leslie Seward,28,123.72,2,постоянный
Indonesia,Lhokseumawe,Jorge Olivares,31,122.69,3,постоянный
Indonesia,Ciomas,Minnie Romero,28,108.72,4,постоянный
Indonesia,Pemalang,Victoria Gibson,26,106.74,5,постоянный
Indonesia,Madiun,Reginald Kinder,25,96.75,6,обычный
Indonesia,Jakarta,Suzanne Nichols,24,94.76,7,обычный
Indonesia,Gorontalo,Tara Ryan,19,87.81,8,обычный
Indonesia,Surakarta,Jay Robb,25,85.75,9,обычный
Indonesia,Pangkal Pinang,Lonnie Tirado,16,84.84,10,обычный
Indonesia,Purwakarta,Jared Ely,17,81.83,11,обычный
Indonesia,Cianjur,Norman Currier,24,73.76,12,обычный
Indonesia,Tegal,Lloyd Dowd,19,66.81,13,обычный
Indonesia,Ciparay,Jeffrey Spear,17,65.83,14,обычный
Iran,Qomsheh,Tommy Collazo,37,183.63,1,ключевой
Iran,Najafabad,Harry Arce,31,139.69,2,постоянный
Iran,Tabriz,Dianne Shelton,24,114.76,3,постоянный
Iran,Esfahan,Dorothy Taylor,24,94.76,4,обычный
Iran,Kermanshah,Howard Fortner,26,93.74,5,обычный
Iran,Arak,Kathleen Adams,25,90.75,6,обычный
Iran,Sirjan,Oscar Aquino,17,80.83,7,обычный
Iran,Shahr-e Kord,Roberta Harper,20,79.80,8,обычный
Iraq,Mosul,Daryl Larue,27,111.73,1,постоянный
Israel,Ashdod,Crystal Ford,30,129.70,1,постоянный
Israel,Tel Aviv-Jaffa,Geraldine Perkins,24,94.76,2,обычный
Israel,Ashqelon,Lewis Lyman,19,86.81,3,обычный
Israel,Bat Yam,Kenneth Gooden,14,67.86,4,обычный
Italy,Bergamo,Alexander Fennell,33,137.67,1,постоянный
Italy,Syrakusa,Bessie Morrison,27,127.73,2,постоянный
Italy,Brindisi,Marc Outlaw,29,120.71,3,постоянный
Italy,Brescia,Christopher Greco,25,113.75,4,постоянный
Italy,Livorno,Darren Windham,22,95.78,5,обычный
Italy,Alessandria,Anna Hill,20,88.80,6,обычный
Italy,Udine,Adrian Clary,18,68.82,7,обычный
Japan,Shimonoseki,Angela Hernandez,35,138.65,1,постоянный
Japan,Omiya,Stanley Scroggins,29,133.71,2,постоянный
Japan,Fukuyama,Debbie Reyes,31,127.69,3,постоянный
Japan,Urawa,Joanne Robertson,32,125.68,4,постоянный
Japan,Kakamigahara,Cathy Spencer,28,122.71,5,постоянный
Japan,Otsu,Miriam Mckinney,23,117.77,6,постоянный
Japan,Miyakonojo,Terry Carlson,26,116.74,7,постоянный
Japan,Iwakuni,Teresa Rogers,26,114.74,8,постоянный
Japan,Sasebo,Mary Smith,30,114.70,9,постоянный
Japan,Onomichi,Jerry Jordon,24,111.76,10,постоянный
Japan,Kuwana,Jamie Waugh,23,110.77,11,постоянный
Japan,Akishima,Julian Vest,27,108.73,12,постоянный
Japan,Iwaki,Marlene Welch,23,106.77,13,постоянный
Japan,Iwatsuki,Earl Shanks,26,105.74,14,постоянный
Japan,Isesaki,Ron Deluca,22,99.78,15,обычный
Japan,Sagamihara,Lisa Anderson,23,99.77,16,обычный
Japan,Ueda,Angel Barclay,28,99.72,17,обычный
Japan,Higashiosaka,Gwendolyn May,25,98.75,18,обычный
Japan,Tama,Phillip Holm,24,93.76,19,обычный
Japan,Okinawa,Bruce Schwarz,21,92.79,20,обычный
Japan,Okayama,Ricardo Meador,19,91.81,21,обычный
Japan,Kurashiki,Rebecca Scott,24,89.76,22,обычный
Japan,Nagareyama,Heather Morris,23,88.76,23,обычный
Japan,Kanazawa,Kurt Emmons,20,87.80,24,обычный
Japan,Hiroshima,James Gannon,21,84.79,25,обычный
Japan,Izumisano,Clarence Gamez,25,79.75,26,обычный
Japan,Tsuyama,Frederick Isbell,16,78.84,27,обычный
Japan,Hino,Kristen Chavez,16,74.84,28,обычный
Japan,Kamakura,Rachel Barnes,19,73.81,29,обычный
Japan,Matsue,Terry Grissom,19,68.81,30,обычный
Japan,Koriyama,Tony Carranza,19,62.81,31,обычный
Kazakstan,Zhezqazghan,Byron Box,28,117.72,1,постоянный
Kazakstan,Pavlodar,Irene Price,21,74.79,2,обычный
Kenya,Nyeri,Roy Whiting,28,139.72,1,постоянный
Kenya,Kisumu,Katie Elliott,23,105.77,2,постоянный
Kuwait,Jalib al-Shuyukh,Claudia Fuller,25,106.75,1,постоянный
Latvia,Daugavpils,Ryan Salisbury,30,142.70,1,постоянный
Latvia,Liepaja,Sarah Lewis,27,106.73,2,постоянный
Liechtenstein,Vaduz,Evelyn Morgan,26,99.74,1,обычный
Lithuania,Vilnius,Felix Gaffney,22,63.78,1,обычный
Madagascar,Mahajanga,Andrea Henderson,21,92.79,1,обычный
Malawi,Lilongwe,Lynn Payne,27,121.73,1,постоянный
Malaysia,Sungai Petani,Charles Kowalski,28,119.72,1,постоянный
Malaysia,Kuching,Jean Bell,24,105.76,2,постоянный
Malaysia,Ipoh,Dolores Wagner,25,104.75,3,постоянный
Mexico,Uruapan,Alex Gresham,32,143.68,1,постоянный
Mexico,Cuauhtmoc,Alvin Deloach,28,134.72,2,постоянный
Mexico,Salamanca,Priscilla Lowe,28,130.72,3,постоянный
Mexico,Atlixco,Sara Perry,30,128.70,4,постоянный
Mexico,Huixquilucan,Tracy Cole,28,126.72,5,постоянный
Mexico,Coatzacoalcos,Maurice Crawley,26,125.74,6,постоянный
Mexico,El Fuerte,Jim Rea,30,121.70,7,постоянный
Mexico,Huejutla de Reyes,Andy Vanhorn,24,112.76,8,постоянный
Mexico,Cuernavaca,Isaac Oglesby,24,109.76,9,постоянный
Mexico,Mexicali,Douglas Graf,23,106.77,10,постоянный
Mexico,Celaya,Sergio Stanfield,24,102.76,11,постоянный
Mexico,Acua,Glen Talbert,23,100.77,12,постоянный
Mexico,San Juan Bautista Tuxtepec,Francis Sikes,25,98.75,13,обычный
Mexico,Jos Azueta,Virgil Wofford,25,97.75,14,обычный
Mexico,Allende,Vincent Ralston,23,96.77,15,обычный
Mexico,Carmen,Willard Lumpkin,21,95.79,16,обычный
Mexico,La Paz,Shane Millard,22,95.78,17,обычный
Mexico,Hidalgo,Danielle Daniels,22,94.78,18,обычный
Mexico,San Felipe del Progreso,Ronald Weiner,21,93.79,19,обычный
Mexico,Monclova,Ivan Cromwell,25,91.75,20,обычный
Mexico,Cuautla,Matthew Mahan,25,91.75,20,обычный
Mexico,Guadalajara,Benjamin Varney,22,89.78,22,обычный
Mexico,Coacalco de Berriozbal,Stella Moreno,19,88.81,23,обычный
Mexico,Torren,Pauline Henry,25,88.75,24,обычный
Mexico,Nezahualcyotl,Wendy Harrison,27,86.73,25,обычный
Mexico,Matamoros,Samantha Duncan,23,71.77,26,обычный
Mexico,Jurez,Fred Wheat,21,69.79,27,обычный
Mexico,Zapopan,Floyd Gandy,16,68.84,28,обычный
Mexico,Pachuca de Soto,Jonathan Scarborough,17,65.83,29,обычный
Mexico,Valle de Santiago,Bobbie Craig,19,52.81,30,обычный
Moldova,Chisinau,Martha Gonzalez,34,127.66,1,постоянный
Morocco,Nador,Amanda Carter,26,105.74,1,постоянный
Morocco,Sal,Laura Rodriguez,19,94.81,2,обычный
Morocco,Beni-Mellal,Lance Pemberton,20,73.80,3,обычный
Mozambique,Beira,Marsha Douglas,34,142.66,1,постоянный
Mozambique,Naala-Porto,Don Bone,23,113.77,2,постоянный
Mozambique,Tete,Annie Russell,18,58.82,3,обычный
Myanmar,Monywa,Mabel Holland,25,97.75,1,обычный
Myanmar,Myingyan,Barbara Jones,22,81.78,2,обычный
Nauru,Yangor,Duane Tubbs,30,143.70,1,постоянный
Nepal,Birgunj,Kevin Schuler,17,93.83,1,обычный
Netherlands,Apeldoorn,Rhonda Kennedy,38,191.62,1,ключевой
Netherlands,Ede,Peter Menard,22,103.78,2,постоянный
Netherlands,Emmen,Dustin Gillette,25,92.75,3,обычный
Netherlands,Amersfoort,Glenn Pullen,22,88.78,4,обычный
Netherlands,s-Hertogenbosch,Vivian Ruiz,20,80.80,5,обычный
New Zealand,Hamilton,Susan Wilson,23,85.77,1,обычный
Nigeria,Ife,Marilyn Ross,30,137.70,1,постоянный
Nigeria,Ilorin,Gladys Hamilton,29,128.71,2,постоянный
Nigeria,Ikerre,Elsie Kelley,32,124.68,3,постоянный
Nigeria,Benin City,Sonia Gregory,21,108.78,4,постоянный
Nigeria,Ogbomosho,Olga Jimenez,24,108.76,5,постоянный
Nigeria,Owo,Tracey Barrett,23,103.77,6,постоянный
Nigeria,Deba Habe,Rodney Moeller,22,97.78,7,обычный
Nigeria,Sokoto,Wallace Slone,22,97.78,7,обычный
Nigeria,Effon-Alaiye,Velma Lucas,24,96.76,9,обычный
Nigeria,Ondo,Bertha Ferguson,23,89.77,10,обычный
Nigeria,Zaria,Constance Reid,23,86.77,11,обычный
Nigeria,Kaduna,Carol Garcia,19,78.81,12,обычный
Nigeria,Oyo,Jo Fowler,15,54.85,13,обычный
North Korea,Pyongyang,Darlene Rose,29,107.71,1,постоянный
Oman,Salala,Gene Sanborn,24,82.76,1,обычный
Oman,Masqat,Margaret Moore,20,78.80,2,обычный
Pakistan,Dadu,Jeffery Pinson,28,113.72,1,постоянный
Pakistan,Shikarpur,Deborah Walker,27,104.73,2,постоянный
Pakistan,Mardan,Sharon Robinson,27,103.73,3,постоянный
Pakistan,Mandi Bahauddin,Melinda Fernandez,16,77.84,4,обычный
Pakistan,Okara,Danny Isom,18,73.82,5,обычный
Paraguay,San Lorenzo,Carl Artis,21,104.79,1,постоянный
Paraguay,Asuncin,Maureen Little,21,87.79,2,обычный
Paraguay,Ciudad del Este,Eileen Carr,18,80.82,3,обычный
Peru,Lima,Thelma Murray,30,120.70,1,постоянный
Peru,Hunuco,Jaime Nettles,27,118.73,2,постоянный
Peru,Sullana,Freddie Duggan,23,87.77,3,обычный
Peru,Callao,David Royal,19,79.81,4,обычный
Philippines,Tanza,Marcia Dean,39,166.61,1,ключевой
Philippines,Santa Rosa,Arnold Havens,32,161.68,2,ключевой
Philippines,Tanauan,Louis Leone,34,156.66,3,ключевой
Philippines,Imus,Joe Gilliland,28,133.72,4,постоянный
Philippines,Cabuyao,Billy Poulin,29,123.71,5,постоянный
Philippines,Davao,Shirley Allen,30,123.70,6,постоянный
Philippines,Ozamis,Eddie Tomlin,26,122.74,7,постоянный
Philippines,Lapu-Lapu,Viola Hanson,30,122.70,8,постоянный
Philippines,Mandaluyong,Hilda Hopkins,27,116.73,9,постоянный
Philippines,Baybay,Kathy James,28,116.72,10,постоянный
Philippines,Cavite,Craig Morrell,28,114.72,11,постоянный
Philippines,Iligan,Ross Grey,26,98.74,12,обычный
Philippines,Bayugan,Melanie Armstrong,25,92.75,13,обычный
Philippines,Talavera,Rafael Abney,19,91.81,14,обычный
Philippines,Tuguegarao,Deanna Byrd,22,90.78,15,обычный
Philippines,Gingoog,Derek Blakely,27,90.73,16,обычный
Philippines,Taguig,Theresa Watson,27,88.73,17,обычный
Philippines,Bislig,Norma Gonzales,19,71.81,18,обычный
Philippines,Hagonoy,Irma Pearson,18,70.82,19,обычный
Philippines,Tarlac,Allan Cornish,16,63.84,20,обычный
Poland,Wroclaw,Jimmie Eggleston,28,135.72,1,постоянный
Poland,Tychy,Russell Brinson,35,132.65,2,постоянный
Poland,Jastrzebie-Zdrj,Marjorie Tucker,30,118.70,3,постоянный
Poland,Plock,Johnnie Chisholm,22,107.78,4,постоянный
Poland,Czestochowa,Sidney Burleson,24,100.76,5,постоянный
Poland,Lublin,Ruben Geary,19,86.81,6,обычный
Poland,Kalisz,Leah Curtis,19,75.81,7,обычный
Poland,Bydgoszcz,Brian Wyman,7,27.93,8,обычный
Puerto Rico,Arecibo,Ralph Madrigal,32,144.68,1,постоянный
Puerto Rico,Ponce,Jenny Castro,20,79.80,2,обычный
Romania,Botosani,Joy George,31,118.69,1,постоянный
Romania,Bucuresti,Ken Prewitt,27,99.73,2,обычный
Runion,Saint-Denis,Eleanor Hunt,45,211.55,1,ключевой
Russian Federation,Usolje-Sibirskoje,Warren Sherrod,31,152.69,1,ключевой
Russian Federation,Maikop,Arthur Simpkins,30,145.70,2,постоянный
Russian Federation,Moscow,Catherine Campbell,31,131.69,3,постоянный
Russian Federation,Kolpino,Daisy Bates,28,125.72,4,постоянный
Russian Federation,Kirovo-Tepetsk,Dana Hart,26,120.74,5,постоянный
Russian Federation,Pjatigorsk,Hector Poindexter,26,119.74,6,постоянный
Russian Federation,Korolev,Philip Causey,29,115.71,7,постоянный
Russian Federation,Nabereznyje Telny,Clifford Bowens,27,109.73,8,постоянный
Russian Federation,Kurgan,Randy Gaither,27,109.73,8,постоянный
Russian Federation,Ljubertsy,Erin Dunn,27,106.73,10,постоянный
Russian Federation,Smolensk,Elaine Stevens,22,105.78,11,постоянный
